Name,Office (Filer Type),Report Type,Date Received/Filed,Report Link,Annoying,Standard,Filename
"Ricketts, John P","Ricketts, Pete (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/2eb83de2-c457-4a61-a902-7810952db2d1/,FALSE,TRUE,senate_reports/senate_reports_1731547604
"Risch, James E","Risch, James E. (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/6231982e-5f6c-4e56-bffb-b40ccd38397b/,FALSE,TRUE,senate_reports/senate_reports_1731547605
"Romney, W. Mitt","Romney, Mitt (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/fe4735ee-8675-4ef8-9408-6c87340f1d81/,FALSE,TRUE,senate_reports/senate_reports_1731547606
"Rosen, Jacklyn S","Rosen, Jacky (Senator)",Annual Report for CY 2023,07/26/2024,https://efdsearch.senate.gov/search/view/annual/f773ab4e-abed-426c-9c17-95a91cc78412/,FALSE,TRUE,senate_reports/senate_reports_1731547607
"ROSEN, JACKLYN S",Senator,Annual Report (Amendment),07/26/2024,https://efdsearch.senate.gov/search/view/paper/20bdeae0-6664-468d-8a68-f7d6604ed7dd/,TRUE,FALSE,senate_reports/senate_reports_1731547608
"Rounds, M. Michael","Rounds, Mike (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/157efca4-3dd9-4fa1-9f76-28801e38d12d/,FALSE,TRUE,senate_reports/senate_reports_1731547610
"Rounds, M. Michael","Rounds, Mike (Senator)",Annual Report for CY 2022 (Amendment 1),05/22/2024,https://efdsearch.senate.gov/search/view/annual/4e3d5ac3-c9c5-471f-b048-48ce77b46373/,FALSE,TRUE,senate_reports/senate_reports_1731547611
"Rounds, M. Michael","Rounds, Mike (Senator)",Annual Report for CY 2021 (Amendment 1),05/22/2024,https://efdsearch.senate.gov/search/view/annual/037bf296-b21a-4eec-acc6-fd73cf7d9edd/,FALSE,TRUE,senate_reports/senate_reports_1731547612
"Rubio, Marco","Rubio, Marco (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/45f8d47c-fa4b-4a5d-b810-33bf8e7e521b/,FALSE,TRUE,senate_reports/senate_reports_1731547616
"Sanders, Bernard","Sanders, Bernard (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/c69e42e6-1c9c-44d9-b097-60be798b8661/,FALSE,TRUE,senate_reports/senate_reports_1731547617
"Schatz, Brian E","Schatz, Brian (Senator)",Annual Report for CY 2023,07/31/2024,https://efdsearch.senate.gov/search/view/annual/c0bab3b6-4e45-4318-8f17-f06d7efbec4b/,FALSE,TRUE,senate_reports/senate_reports_1731547618
"Schatz, Brian E","Schatz, Brian (Senator)",Annual Report for CY 2021 (Amendment 1),07/31/2024,https://efdsearch.senate.gov/search/view/annual/3d2cb46f-6a6c-4f70-85c9-c75c560b8154/,FALSE,TRUE,senate_reports/senate_reports_1731547619
"Schatz, Brian E","Schatz, Brian (Senator)",Annual Report for CY 2022 (Amendment 1),07/31/2024,https://efdsearch.senate.gov/search/view/annual/00f71836-15dd-46c9-b884-254e5479891e/,FALSE,TRUE,senate_reports/senate_reports_1731547620
"Schmitt, Eric","Schmitt, Eric (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/b86d9173-de3a-4f1c-bf2c-29b7f956ba4f/,FALSE,TRUE,senate_reports/senate_reports_1731547622
"Schmitt, Eric","Schmitt, Eric (Senator)",Annual Report for CY 2022 (Amendment 2),08/13/2024,https://efdsearch.senate.gov/search/view/annual/df3f0db2-76df-4b34-88d7-213ec6288ce8/,FALSE,TRUE,senate_reports/senate_reports_1731547623
"Schumer, Charles E","Schumer, Charles E. (Senator)",Annual Report for CY 2023,05/08/2024,https://efdsearch.senate.gov/search/view/annual/bdc5113d-5891-462e-9501-ad2e5a697d51/,FALSE,TRUE,senate_reports/senate_reports_1731547624
"Scott, Rick","Scott, Rick (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/f1c73d96-7e08-4a24-bd97-ec0b085782b8/,FALSE,TRUE,senate_reports/senate_reports_1731547625
"Scott, Tim","Scott, Tim (Senator)",Annual Report for CY 2023,05/13/2024,https://efdsearch.senate.gov/search/view/annual/9e7b377c-4514-4ab5-90db-9e76d43c4b30/,FALSE,TRUE,senate_reports/senate_reports_1731547626
"Shaheen, Jeanne","Shaheen, Jeanne (Senator)",Annual Report for CY 2023,08/07/2024,https://efdsearch.senate.gov/search/view/annual/952e43aa-f40c-4311-b8f1-b08d3e8ff097/,FALSE,TRUE,senate_reports/senate_reports_1731547627
"Sinema, Kyrsten","Sinema, Kyrsten (Senator)",Annual Report for CY 2023,04/23/2024,https://efdsearch.senate.gov/search/view/annual/eb37d9be-fe95-4680-a93d-8e22b7f887cc/,FALSE,TRUE,senate_reports/senate_reports_1731547629
